Employee,Assigned_Tasks,Required_Skills,Total_Hours,Days,19-05-2025,20-05-2025,21-05-2025,22-05-2025,23-05-2025,Person_Contribution (%)
Person_1,"task2a, task3a, task6e, task9a, task9b, task17a, task18a, task18c, task19c","sql, docker, css, docker, sql, docker, sql, css, javascript",27,"3 days, 3 hours","task2a (4 hours), task3a (4 hours)","task3a (1 hours), task6e (3 hours), task9a (1 hours), task9b (1 hours), task17a (2 hours)","task17a (1 hours), task18a (3 hours), task18c (3 hours), task19c (1 hours)",task19c (3 hours),available,93.10344827586206
Person_2,"task2c, task4a, task4c, task5c, task7b, task8b, task10c, task11a, task11c","ruby, kubernetes, ruby, ruby, kubernetes, kubernetes, ruby, kubernetes, ruby",29,"3 days, 5 hours","task2c (4 hours), task4a (4 hours)","task4c (4 hours), task5c (4 hours)","task5c (1 hours), task7b (3 hours), task8b (4 hours)","task8b (1 hours), task10c (2 hours), task11a (1 hours), task11c (1 hours)",available,100.0
Person_3,"task1a, task5a, task8a, task10a, task12a, task14a","sql, docker, docker, docker, sql, sql",20,"2 days, 4 hours","task1a (4 hours), task5a (4 hours)","task5a (1 hours), task8a (5 hours), task10a (2 hours)","task12a (1 hours), task14a (3 hours)",available,available,68.96551724137932
Person_4,"task1d, task2b, task8d, task16d, task19e","html, html, html, devops, devops",22,"2 days, 6 hours","task1d (4 hours), task2b (4 hours)","task8d (5 hours), task16d (3 hours)","task16d (2 hours), task19e (4 hours)",available,available,75.86206896551724
Person_5,"task3c, task6a, task16c","javascript, python, javascript",13,"1 days, 5 hours","task3c (5 hours), task6a (3 hours)",task16c (5 hours),available,available,available,44.827586206896555
Person_6,"task7a, task8c, task9d, task12d, task13e","docker, javascript, javascript, javascript, javascript",12,"1 days, 4 hours","task7a (3 hours), task8c (5 hours)","task9d (1 hours), task12d (1 hours), task13e (2 hours)",available,available,available,41.37931034482759
Person_7,"task1b, task9e, task10e, task16b","aws, aws, aws, aws",12,"1 days, 4 hours","task1b (4 hours), task9e (1 hours), task10e (2 hours), task16b (1 hours)",task16b (4 hours),available,available,available,41.37931034482759
Person_8,"task1c, task7c, task10b, task19b","python, python, python, python",13,"1 days, 5 hours","task1c (4 hours), task7c (3 hours), task10b (1 hours)","task10b (1 hours), task19b (4 hours)",available,available,available,44.827586206896555
Person_9,"task4d, task5d, task6c, task7d, task11b, task17c, task17d","css, css, html, html, html, javascript, html",22,"2 days, 6 hours","task4d (4 hours), task5d (4 hours)","task5d (1 hours), task6c (3 hours), task7d (3 hours), task11b (1 hours)","task17c (3 hours), task17d (3 hours)",available,available,75.86206896551724
Person_10,"task3b, task3d, task6d, task9c, task12c, task13c, task14b, task15c","c++, devops, devops, c++, c++, c++, c++, python",21,"2 days, 5 hours","task3b (5 hours), task3d (3 hours)","task3d (2 hours), task6d (3 hours), task9c (1 hours), task12c (1 hours), task13c (1 hours)","task13c (1 hours), task14b (3 hours), task15c (1 hours)",available,available,72.41379310344827
Person_11,"task4b, task5b, task6b, task10d, task13d, task14c, task15b, task19a, task19d","react, react, react, react, react, react, react, docker, react",28,"3 days, 4 hours","task4b (4 hours), task5b (4 hours)","task5b (1 hours), task6b (3 hours), task10d (2 hours), task13d (2 hours)","task14c (3 hours), task15b (1 hours), task19a (4 hours)",task19d (4 hours),available,96.55172413793103
